,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
556,556,1961A,117.532,36.6868,东山小学,济南,160.89,113.85,140.76,124.3,101.97,84.82,68.84,59.45,81.81,107.37,125.16,146.16
557,557,1982A,122.0693,37.2174,文登开发区,威海,66.16,58.03,66.54,64.25,55.43,40.68,35.47,29.53,35.6,45.44,57.52,66.07
558,558,2054A,114.1099,32.1059,平桥分局,信阳,149.84,118.42,110.58,88.1,77.35,55.42,44.71,49.68,64.51,76.62,102.8,134.38
559,559,2064A,113.9956,32.1271,南湾水厂,信阳,123.45,94.01,91.4,76.74,65.58,43.42,36.78,41.93,54.15,63.64,84.04,108.85
560,560,2065A,114.0775,32.1195,市酿酒公司,信阳,143.95,111.4,102.15,81.94,71.55,48.11,37.32,42.29,55.93,69.11,94.23,123.5
561,561,2066A,114.0609,32.1399,审计局,信阳,154.71,118.51,109.35,89.07,82.19,55.57,44.67,49.22,61.06,77.07,101.95,136.7
562,562,2067A,114.6613,33.6128,市环境监测站,周口,171.43,133.7,122.58,110.18,104.51,79.56,52.72,53.53,76.69,96.75,118.18,144.98
563,563,2068A,114.6758,33.6347,周口师范,周口,158.28,127.57,116.0,98.39,92.76,70.16,47.37,51.6,75.4,93.96,114.15,137.94
564,564,2070A,114.6369,33.6406,川汇区环保局,周口,161.62,129.73,116.37,101.94,95.68,68.47,45.15,49.46,72.76,93.21,117.03,146.67
565,565,2160A,112.85,35.5051,自来水公司,晋城,151.96,117.61,136.8,121.88,97.77,82.33,74.27,68.09,71.76,80.78,118.51,122.37
566,566,2161A,112.8318,35.4936,白云商贸,晋城,161.22,123.83,140.21,126.21,108.09,93.89,80.83,68.86,73.03,89.34,126.95,122.9
567,567,2162A,112.8508,35.4887,市环保局,晋城,158.24,117.56,135.53,122.66,99.36,86.88,76.12,68.86,73.74,86.31,119.56,124.58
568,568,2163A,112.8676,35.4897,技术学院,晋城,162.49,122.2,136.45,125.34,101.04,85.55,68.71,62.54,69.96,81.47,124.64,129.77
569,569,2167A,112.4575,39.3617,朔唯,朔州,154.73,113.02,137.25,121.64,118.84,82.38,69.21,67.01,73.36,91.69,122.98,132.02
570,570,2168A,112.4258,39.3197,区政府,朔州,161.23,119.54,139.22,107.25,104.98,75.6,68.18,64.52,69.17,88.3,117.97,121.96
571,571,2169A,112.4072,39.3278,市环保局,朔州,150.95,102.25,125.81,97.77,98.35,70.63,62.14,62.7,61.36,77.77,110.38,119.95
572,572,2171A,112.7532,37.6945,锦纶小区,晋中,138.85,102.28,121.27,96.4,90.39,74.16,57.78,53.98,63.56,79.34,111.81,115.54
573,573,2173A,112.7249,37.7067,南都小区,晋中,141.14,100.54,124.0,99.16,97.03,80.95,64.7,58.63,69.11,84.73,119.44,118.49
