,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
547,547,1939A,109.4974,34.4877,日报社,渭南,55.59,76.02,72.75,59.54,56.78,50.68,44.87,53.02
548,548,1940A,109.4636,34.493,体育馆,渭南,63.29,75.7,71.18,59.06,58.63,51.12,43.04,51.65
549,549,1941A,109.4259,34.5023,高新一小,渭南,61.02,76.78,69.77,59.22,56.55,57.05,48.81,55.84
550,550,1943A,102.1725,38.5339,新川苑,金昌,30.38,27.11,27.07,25.22,20.72,21.07,25.2,26.16
551,551,1944A,102.1692,38.5167,天庆家园,金昌,34.22,30.82,25.68,23.35,26.95,23.13,26.91,23.96
552,552,1945A,98.2908,39.7711,气象局,嘉峪关,32.09,32.86,24.97,29.7,26.18,29.49,31.17,28.82
553,553,1947A,106.3394,38.817,沙湖旅游区(对照点),石嘴山,54.5,53.75,57.17,44.63,38.0,43.22,40.64,40.97
554,554,1948A,106.3668,39.0145,大武口朝阳西街,石嘴山,59.47,57.21,53.47,46.35,40.64,45.7,43.76,37.51
555,555,1949A,106.7704,39.2282,惠农南大街,石嘴山,36.15,36.48,41.26,39.43,33.3,42.49,41.76,33.75
556,556,1951A,84.895,45.6094,长征新村,克拉玛依,24.99,20.67,34.51,27.17,25.18,26.82,24.1,23.15
557,557,1952A,84.8988,45.5893,南林小区,克拉玛依,22.95,25.7,28.21,20.71,21.39,22.05,21.92,27.59
558,558,1954A,84.905,44.3396,独山子区,克拉玛依,39.7,53.25,43.43,34.88,33.26,38.84,30.24,32.06
559,559,1955A,85.6979,46.098,乌尔禾区商贸楼,克拉玛依,24.72,21.08,32.6,22.77,24.58,24.67,20.36,25.98
560,560,1957A,86.1972,41.7166,棉纺厂,巴音郭楞州,49.67,58.18,48.89,52.01,52.2,51.57,43.39,42.81
561,561,1961A,117.532,36.6868,东山小学,济南,71.69,75.45,67.13,50.22,46.29,47.5,41.63,36.45
562,562,2054A,114.1099,32.1059,平桥分局,信阳,70.66,59.31,52.58,56.18,52.16,41.98,40.47,41.3
563,563,2064A,113.9956,32.1271,南湾水厂,信阳,61.91,51.55,48.38,50.22,45.92,38.67,36.79,36.58
564,564,2065A,114.0775,32.1195,市酿酒公司,信阳,76.14,58.03,56.3,52.05,45.34,39.47,37.36,39.52
565,565,2066A,114.0609,32.1399,审计局,信阳,70.93,61.87,60.28,54.08,48.02,41.53,41.56,43.35
566,566,2067A,114.6613,33.6128,市环境监测站,周口,84.83,70.91,61.26,59.54,57.19,49.1,44.1,43.62
567,567,2068A,114.6758,33.6347,周口师范,周口,79.79,68.47,59.77,56.55,57.85,50.89,45.11,43.59
568,568,2069A,114.6546,33.5979,市运管处,周口,83.29,66.15,61.08,58.06,55.35,49.16,44.05,44.38
569,569,2070A,114.6369,33.6406,川汇区环保局,周口,81.49,67.93,63.31,61.94,57.44,51.99,46.82,44.81
570,570,2160A,112.85,35.5051,自来水公司,晋城,61.47,63.04,69.34,62.52,56.54,48.25,35.7,37.85
571,571,2161A,112.8318,35.4936,白云商贸,晋城,55.59,61.2,63.92,59.17,53.72,45.6,35.94,37.17
572,572,2162A,112.8508,35.4887,市环保局,晋城,59.28,63.81,64.52,61.58,54.11,45.84,37.87,40.84
573,573,2163A,112.8676,35.4897,技术学院,晋城,53.56,59.18,64.42,58.88,55.67,47.87,39.75,38.75
574,574,2166A,112.4397,39.3522,平朔,朔州,58.29,59.12,51.05,42.28,41.07,40.57,37.59,33.87
575,575,2167A,112.4575,39.3617,朔唯,朔州,49.49,53.93,46.37,43.17,41.77,40.41,36.09,34.35
576,576,2168A,112.4258,39.3197,区政府,朔州,58.13,63.74,56.46,45.35,37.85,35.76,33.74,29.18
577,577,2169A,112.4072,39.3278,市环保局,朔州,49.81,59.15,55.44,46.58,39.35,37.65,33.58,29.19
578,578,2171A,112.7532,37.6945,锦纶小区,晋中,53.48,57.86,59.55,51.97,44.25,40.53,38.96,44.13
579,579,2173A,112.7249,37.7067,南都小区,晋中,55.33,61.84,58.53,54.15,47.11,42.42,39.5,45.97
580,580,2174A,112.6991,37.6982,榆次区政府,晋中,60.88,66.76,64.64,54.5,46.62,44.6,38.81,47.38
581,581,2175A,110.9956,35.0147,运城中学,运城,67.9,69.0,78.76,60.55,59.17,55.49,49.43,50.72
582,582,2178A,110.9686,35.0303,地区技校,运城,74.25,70.29,78.85,61.91,61.69,53.96,46.95,45.23
583,583,2181A,112.7383,38.4519,开发区,忻州,54.27,45.35,61.59,50.99,43.84,43.69,45.43,37.67
584,584,2182A,112.7003,38.4928,会展中心,忻州,66.03,64.59,62.06,48.78,41.07,40.85,41.78,36.39
585,585,2183A,111.1406,37.5211,环保局,吕梁,44.76,43.48,52.93,48.79,35.12,32.22,29.13,24.75
586,586,2187A,106.8174,39.6973,市林业局,乌海,51.03,45.55,43.89,41.85,31.63,33.92,31.41,31.29
587,587,2188A,106.7907,39.6667,中海勃湾学校,乌海,53.06,42.75,42.51,38.91,30.25,31.77,30.09,30.37
588,588,2191A,122.2532,43.6801,艺术职业学校,通辽,51.22,40.58,33.48,32.48,34.2,36.06,31.16,25.55
