,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
406,406,1718A,115.4208,35.2464,气象局,菏泽,161.84,119.93,110.59,94.77,91.51,81.15,61.7,59.23,75.86,96.58,116.12,145.23
407,407,1719A,115.4747,35.2375,市政协,菏泽,158.41,115.45,108.92,94.52,90.4,82.9,60.15,58.37,74.45,93.72,112.24,140.04
408,408,1726A,113.2711,40.0844,教育学院,大同,92.97,75.88,81.67,71.72,74.68,58.99,52.75,49.56,54.8,65.46,82.4,86.56
409,409,1727A,113.1147,36.1547,清华站,长治,125.67,94.11,94.12,79.19,75.01,73.45,63.77,60.34,64.35,71.71,88.1,99.75
410,410,1728A,113.1031,36.1989,监测站,长治,134.07,96.59,93.64,77.72,74.67,72.4,64.16,58.21,60.37,68.07,90.09,107.91
411,411,1730A,113.0886,36.2125,审计局,长治,130.46,97.45,96.42,80.12,75.17,73.35,61.92,57.98,58.88,66.44,88.58,99.63
412,412,1731A,113.0844,36.1856,长治八中,长治,141.13,98.51,101.42,81.13,78.25,74.0,63.19,59.62,61.75,72.23,97.4,113.08
413,413,1733A,111.5531,36.0783,临钢医院,临汾,180.38,122.98,105.5,87.32,79.74,76.57,67.77,68.16,74.14,86.27,123.2,139.87
414,414,1734A,111.5028,36.0714,技工学校,临汾,169.32,114.16,96.51,81.8,76.05,71.54,59.86,57.49,61.34,73.27,119.57,132.62
415,415,1736A,111.5018,36.0855,市委,临汾,164.52,112.08,99.33,84.11,80.17,73.76,63.51,63.27,63.88,72.73,111.69,125.33
416,416,1738A,113.5758,37.8572,市中心,阳泉,128.93,101.48,112.3,88.72,84.38,79.26,75.21,63.24,67.36,73.11,102.39,97.43
417,417,1739A,113.4894,37.8731,赛鱼,阳泉,116.33,90.33,96.99,78.34,73.13,69.85,66.81,57.18,58.5,69.25,91.02,94.04
418,418,1740A,113.5819,37.8486,南庄,阳泉,135.56,105.49,119.02,93.3,85.68,79.76,78.28,65.75,69.28,79.08,109.26,104.52
419,419,1742A,113.5614,37.8703,平坦,阳泉,123.74,98.19,109.12,80.36,79.4,75.25,72.43,61.18,59.81,71.85,96.51,94.24
420,420,1743A,113.5158,37.8392,大阳泉,阳泉,106.12,84.67,92.39,70.08,68.58,66.39,62.84,51.25,54.14,63.31,82.05,82.57
421,421,1745A,118.9576,42.2728,哈达街,赤峰,61.71,57.46,65.58,65.95,63.4,46.84,45.88,40.7,42.96,52.13,62.11,54.92
422,422,1746A,118.8788,42.2554,天义路,赤峰,51.01,49.19,56.47,59.51,57.59,44.08,40.87,34.3,37.21,48.38,55.93,45.19
423,423,1748A,123.044,41.1196,深沟寺,鞍山,97.92,82.29,85.04,74.01,60.04,51.82,45.4,41.72,45.19,60.82,79.03,78.05
424,424,1749A,123.011,41.0931,太阳城,鞍山,99.42,86.24,85.01,74.4,61.67,54.78,47.92,44.63,48.3,59.53,76.11,78.77
425,425,1750A,123.0485,41.1442,太平,鞍山,110.78,93.5,91.25,79.43,65.15,57.43,50.31,48.36,54.34,68.14,86.36,88.1
426,426,1751A,122.9642,41.0971,铁西三道街,鞍山,115.86,97.58,95.5,83.93,71.08,64.33,57.08,56.31,63.18,79.08,95.12,92.82
427,427,1752A,122.9341,41.0833,铁西工业园区,鞍山,132.51,105.46,103.17,89.02,70.52,63.99,56.42,56.36,65.01,81.41,101.47,102.09
428,428,1753A,123.022,41.0821,明达新区,鞍山,92.99,82.29,81.37,70.82,59.36,52.27,46.13,42.69,46.42,58.7,73.19,75.08
429,429,1755A,123.7977,41.8491,望花区,抚顺,127.08,102.9,96.48,83.34,67.96,54.86,51.95,46.48,53.86,80.4,90.0,105.71
430,430,1757A,124.0436,41.8611,东洲区,抚顺,99.01,84.03,80.35,69.47,57.55,45.32,44.02,35.77,38.86,63.54,73.3,84.21
431,431,1759A,124.0972,41.8961,大伙房水库,抚顺,82.77,70.23,70.78,64.63,54.8,43.65,39.47,32.2,33.36,55.12,61.77,69.63
432,432,1761A,123.8275,41.3064,大峪,本溪,85.67,70.38,70.03,60.09,51.81,43.93,42.58,37.52,38.31,51.42,67.21,73.6
433,433,1762A,123.7567,41.3325,溪湖,本溪,103.3,82.38,82.17,70.56,60.39,49.89,45.99,43.19,50.06,66.37,78.91,86.78
