,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
616,616,2231A,126.4219,41.9171,喜丰,白山,83.57,78.51,73.55,56.41,54.49,52.05,52.32,52.24
617,617,2232A,126.4077,41.9419,环保局,白山,74.96,71.28,63.1,51.05,51.05,55.9,51.03,52.48
618,618,2236A,122.8738,45.5725,市环保局,白城,83.38,70.48,54.62,45.84,49.44,41.36,40.68,43.99
619,619,2237A,129.47,42.8883,妇幼医院,延边朝鲜族自治州,58.06,50.78,51.54,46.37,45.32,38.56,37.86,33.61
620,620,2239A,129.3964,42.8881,朝阳川镇医院,延边朝鲜族自治州,56.23,49.3,47.65,44.81,43.2,35.32,37.17,32.62
621,621,2240A,130.9762,45.3001,环保局,鸡西,45.74,41.32,51.5,45.38,41.8,39.34,46.82,40.63
622,622,2243A,130.9429,45.3039,第一中学,鸡西,47.0,36.84,48.83,39.9,41.23,36.78,43.71,39.21
623,623,2244A,130.2537,47.3416,哈啤分公司,鹤岗,70.55,57.46,51.01,39.76,36.31,35.98,37.49,32.25
624,624,2245A,130.2684,47.3086,斯达机电,鹤岗,70.56,64.84,57.26,49.68,43.57,43.2,40.69,34.14
625,625,2246A,130.3114,47.3388,东山纸板厂,鹤岗,72.95,64.21,66.97,64.65,52.07,50.09,48.94,42.14
626,626,2250A,131.1524,46.6554,环保局,双鸭山,73.43,57.94,60.99,48.08,51.28,46.14,45.44,40.93
627,627,2252A,128.5159,47.4311,环保局,伊春,49.26,33.61,37.93,35.6,36.36,33.92,33.38,32.23
628,628,2255A,130.2751,46.8028,佳纺,佳木斯,54.04,58.95,61.29,51.14,50.2,52.48,52.73,46.31
629,629,2258A,130.3648,46.8032,十一中,佳木斯,53.91,51.53,57.82,48.55,48.33,45.79,47.36,42.54
630,630,2264A,127.5144,50.2341,环保局,黑河,53.46,39.91,38.41,35.9,32.28,33.25,30.01,28.29
631,631,2270A,117.396,32.939,工人疗养院,蚌埠,92.86,87.81,101.45,84.41,77.64,71.63,67.59,63.56
632,632,2271A,117.3605,32.9427,百货大楼,蚌埠,92.47,93.37,99.21,83.33,77.85,66.98,66.73,65.15
633,633,2273A,117.4185,32.8911,蚌埠学院,蚌埠,85.09,80.51,81.43,75.29,76.21,65.2,64.76,61.69
634,634,2274A,117.3533,32.9673,淮上区政府,蚌埠,91.3,91.32,86.73,80.31,80.73,71.55,68.72,65.33
635,635,2275A,117.3145,32.8977,高新区,蚌埠,83.54,83.27,84.79,77.85,78.0,69.7,68.3,64.8
636,636,2277A,116.8305,32.7727,潘集区政府,淮南,81.45,78.7,102.01,88.49,90.31,83.94,79.07,72.13
637,637,2281A,116.6325,32.6201,焦岗湖风景区管理处(对照点),淮南,75.7,76.01,93.1,80.92,79.89,68.78,67.46,62.97
638,638,2282A,116.8004,33.975,监测站,淮北,81.1,82.2,92.49,86.18,83.78,76.29,72.14,69.16
639,639,2283A,116.8091,33.9007,烈山区政府,淮北,93.42,86.63,103.87,88.1,88.0,76.97,73.17,72.45
640,640,2284A,116.7856,33.9477,职业技术学院,淮北,86.85,86.87,100.24,90.89,86.03,77.94,72.46,69.91
641,641,2285A,117.8177,30.9412,市第四中学,铜陵,84.22,76.94,79.76,71.12,68.7,56.68,57.61,57.39
642,642,2286A,117.8059,30.9273,市公路局,铜陵,77.84,77.24,86.22,76.94,78.41,64.92,64.7,60.59
643,643,2287A,117.7807,30.9413,市新民污水厂,铜陵,89.87,74.38,82.06,68.61,69.59,55.14,58.81,56.84
644,644,2288A,117.7439,30.8792,市第九中学,铜陵,86.28,75.15,86.78,72.67,77.21,63.4,62.85,65.39
645,645,2289A,117.846,30.9413,车站新区,铜陵,82.42,72.79,82.17,68.57,68.38,58.47,58.5,55.71
646,646,2290A,117.8483,30.97,市职教基地,铜陵,86.5,74.69,80.43,70.46,71.57,54.75,55.87,54.03
647,647,2291A,117.0809,30.5177,环科院,安庆,82.46,81.73,76.11,68.05,69.26,57.1,54.98,57.42
648,648,2292A,117.0331,30.5119,马山宾馆,安庆,78.55,79.78,83.35,68.69,69.79,55.29,56.02,54.61
649,649,2295A,118.2903,29.6963,延安路89号,黄山,58.4,47.92,53.15,42.79,43.77,39.06,36.23,35.81
650,650,2296A,118.327,29.7178,黄山东路89号,黄山,55.88,52.74,49.71,43.45,42.13,38.17,36.38,35.39
651,651,2297A,118.1371,30.2756,黄山区政府5号楼,黄山,45.04,41.95,45.73,40.33,42.51,37.24,37.88,39.0
652,652,2298A,118.3093,32.3153,老年大学,滁州,90.08,83.39,80.16,76.03,72.26,62.82,63.76,58.9
653,653,2299A,118.3244,32.2786,人大宾馆,滁州,83.54,81.37,82.64,77.53,74.28,63.74,63.63,57.16
654,654,2301A,115.8277,32.8929,市监测站,阜阳,77.31,89.6,98.71,83.12,82.66,77.51,73.69,68.7
655,655,2303A,115.8554,32.8605,开发区,阜阳,74.46,83.31,96.74,81.46,84.53,79.74,77.46,72.72
656,656,2307A,116.5079,31.737,监测大楼,六安,83.35,70.92,74.35,70.72,69.2,62.09,60.3,57.56
657,657,2308A,116.4738,31.7643,皖西学院,六安,83.24,69.59,73.78,73.03,69.63,61.9,57.75,57.22
658,658,2309A,116.4996,31.7905,朝阳厂,六安,75.36,64.26,70.14,71.13,71.75,61.37,60.1,57.11
659,659,2310A,116.5567,31.7886,开发区,六安,82.49,73.92,75.24,70.4,65.78,60.5,62.6,62.03
660,660,2311A,115.8072,33.8399,污水处理厂,亳州,82.13,82.07,96.84,88.44,82.36,76.7,71.93,69.08
661,661,2314A,117.47,30.6618,池州学院,池州,53.06,67.82,82.54,65.82,62.99,52.99,54.24,55.72
662,662,2316A,118.7581,30.9454,鳌峰子站,宣城,76.32,76.56,78.27,63.59,61.55,51.85,50.67,52.38
663,663,2317A,118.7385,30.9743,敬亭山子站,宣城,70.68,67.99,73.39,67.42,64.96,51.2,50.74,51.13
664,664,2318A,118.7173,30.9427,开发区子站,宣城,79.56,76.93,73.53,66.85,63.22,52.61,49.94,51.28
665,665,2320A,119.0015,25.4553,莆田市监测站,莆田,45.55,47.52,47.46,44.74,42.41,41.28,39.96,36.2
666,666,2321A,119.1119,25.4561,涵江区六中,莆田,49.68,45.82,46.4,46.7,44.56,41.94,41.6,38.46
667,667,2322A,119.1013,25.3215,秀屿区政府,莆田,51.52,48.96,48.19,47.56,47.49,45.53,44.52,37.49
668,668,2324A,117.6211,26.2625,三钢,三明,49.16,44.8,46.87,43.37,42.02,41.18,42.32,36.2
669,669,2325A,117.635,26.2714,三明二中,三明,51.1,43.76,42.08,40.16,38.7,36.62,38.83,33.03
670,670,2326A,117.6028,26.2378,三元区政府,三明,50.82,47.64,46.33,44.47,44.2,42.58,46.57,37.78
671,671,2332A,118.1681,26.6369,南平市监测站,南平,44.6,41.14,37.89,36.75,34.82,32.76,33.24,30.91
672,672,2333A,118.1825,26.6489,南平铝业有限公司,南平,49.9,40.92,43.75,40.24,37.03,35.23,36.06,31.88
673,673,2334A,118.1756,26.6272,南平七中,南平,45.42,42.31,39.87,37.83,34.86,33.04,35.2,32.4
674,674,2336A,117.0217,25.1033,龙岩市监测站,龙岩,42.82,43.4,43.12,43.85,39.59,34.61,37.11,33.02
675,675,2337A,117.0258,25.0661,闽西职业技术学院,龙岩,46.84,45.9,44.53,45.75,43.66,38.05,41.6,35.53
676,676,2341A,119.5388,26.6612,宁德市监测站,宁德,47.99,45.68,45.87,43.07,42.57,41.45,40.62,34.88
677,677,2343A,117.2117,29.2933,老干部活动中心,景德镇,63.01,64.22,63.61,51.1,47.06,43.74,44.68,48.35
678,678,2344A,117.1894,29.2789,兽医站,景德镇,70.68,59.79,59.61,49.09,48.68,44.18,44.42,40.89
679,679,2345A,117.1547,29.2617,台达陶瓷,景德镇,67.3,67.64,65.62,52.84,49.56,45.53,48.2,42.32
680,680,2346A,117.2461,29.2956,陶研所,景德镇,63.31,60.99,62.34,52.29,47.43,42.19,43.35,42.04
681,681,2348A,113.8385,27.6434,中医院,萍乡,90.09,86.56,77.72,68.97,68.61,58.42,60.99,50.71
682,682,2349A,113.8493,27.6253,市政府车库,萍乡,85.17,88.6,81.78,63.99,55.99,51.02,53.41,52.62
683,683,2350A,113.8676,27.6435,市环保局,萍乡,80.13,74.82,72.75,63.73,59.93,53.01,53.93,51.37
684,684,2351A,113.866,27.6198,安源区政府,萍乡,80.64,77.67,77.27,67.14,66.26,57.89,55.77,51.53
685,685,2353A,114.9886,27.8431,飞宇,新余,57.82,64.76,66.6,58.12,54.03,48.7,51.19,48.12
686,686,2354A,114.9231,27.8246,第二水厂,新余,60.08,67.14,75.89,62.31,58.74,50.83,53.31,50.82
687,687,2355A,114.9308,27.8036,市气象局,新余,68.82,69.86,70.44,61.75,58.23,53.57,54.42,48.78
688,688,2358A,117.0564,28.2642,新监测站,鹰潭,62.41,62.03,62.43,54.2,54.61,50.57,46.16,44.43
689,689,2360A,117.0222,28.2264,体育馆,鹰潭,62.58,61.06,61.14,57.24,57.17,50.64,44.06,44.4
690,690,2361A,117.0017,28.2131,三川水表,鹰潭,64.13,60.64,61.76,57.6,57.75,50.29,44.41,45.71
691,691,2363A,114.9367,25.8664,地委,赣州,58.88,64.78,69.63,58.46,47.24,42.48,41.1,38.96
692,692,2364A,114.9461,25.8481,气象台,赣州,58.85,62.73,66.0,56.84,46.68,40.13,39.32,37.83
693,693,2365A,114.9322,25.8333,市图书馆,赣州,60.01,63.88,66.8,58.22,49.3,43.77,41.83,38.5
694,694,2366A,114.8905,25.8471,华坚鞋城,赣州,63.2,69.42,70.72,61.09,50.81,45.95,47.33,41.75
