,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
399,399,1694A,115.3706,22.7898,市政府,汕尾,31.85,27.11,29.03,23.57,16.76,13.41,11.82,14.66,18.61,22.19,24.96,26.8
400,400,1695A,115.3622,22.7925,新城中学,汕尾,33.76,28.24,28.31,24.48,17.4,12.08,13.6,14.23,20.17,24.08,26.46,28.78
401,401,1696A,114.6778,23.7569,源西(对照点),河源,36.91,30.71,26.36,27.01,21.89,16.26,18.87,19.04,24.65,28.55,29.55,34.13
402,402,1697A,114.6944,23.7586,东埔,河源,36.84,30.03,27.43,28.25,23.14,16.3,19.36,18.69,25.04,28.92,29.87,35.12
403,403,1698A,114.6892,23.7233,老城,河源,34.49,29.54,26.08,26.84,22.88,16.02,19.92,19.41,24.69,28.28,28.16,32.77
404,404,1701A,111.9491,21.8658,马南垌,阳江,41.94,31.33,29.86,24.51,17.7,11.39,13.34,16.64,23.51,31.35,36.55,40.91
405,405,1703A,113.0208,23.7106,凤城街办,清远,44.79,38.56,37.28,33.76,26.85,20.52,21.97,23.8,28.46,29.24,31.28,34.01
406,406,1705A,116.6367,23.6719,西园路(对照点),潮州,42.1,37.78,43.1,32.83,24.72,16.22,18.29,18.87,23.81,26.75,29.92,31.96
407,407,1706A,116.6447,23.6706,档案局,潮州,37.74,34.23,39.64,31.7,24.45,16.34,18.02,18.94,23.45,26.11,29.35,31.18
408,408,1708A,116.3701,23.5345,新兴,揭阳,45.35,40.66,45.29,36.04,25.27,17.45,20.12,21.98,27.77,32.4,38.47,40.82
409,409,1710A,116.3611,23.5626,东兴,揭阳,43.24,36.81,39.63,33.56,23.78,15.78,18.56,20.42,25.63,29.81,35.25,37.25
410,410,1711A,116.4151,23.5294,渔湖,揭阳,47.36,42.04,46.51,38.97,27.1,18.49,21.51,23.16,28.95,33.26,39.47,43.23
411,411,1714A,112.0539,22.9539,牧羊,云浮,45.62,32.62,33.67,30.66,25.06,16.16,18.76,23.37,29.68,29.55,36.4,40.27
412,412,1715A,102.575,24.3711,东风水库,玉溪,19.04,28.63,34.74,29.86,19.87,9.49,10.74,12.85,13.46,14.16,15.58,20.88
413,413,1718A,115.4208,35.2464,气象局,菏泽,121.79,85.49,66.32,52.37,48.07,41.57,35.44,34.4,43.13,61.01,79.7,106.53
414,414,1719A,115.4747,35.2375,市政协,菏泽,118.64,81.41,64.42,52.68,47.38,41.86,34.02,33.62,41.94,58.49,76.67,102.58
415,415,1724A,113.3444,40.0917,大同大学,大同,47.2,37.73,40.16,29.49,30.34,25.29,25.01,21.55,22.47,28.8,39.42,39.64
416,416,1726A,113.2711,40.0844,教育学院,大同,63.57,46.46,44.27,29.92,31.35,25.55,25.93,21.83,24.28,32.08,44.51,51.27
417,417,1727A,113.1147,36.1547,清华站,长治,91.96,65.36,58.2,45.45,40.62,40.61,40.4,38.17,39.55,47.14,59.23,68.93
418,418,1728A,113.1031,36.1989,监测站,长治,99.73,66.94,63.39,42.64,37.87,39.24,39.07,35.18,35.27,42.93,60.8,75.77
419,419,1730A,113.0886,36.2125,审计局,长治,96.37,68.39,64.33,45.32,39.44,38.87,37.52,35.43,34.67,42.5,57.98,68.53
420,420,1731A,113.0844,36.1856,长治八中,长治,104.19,68.57,61.19,44.38,39.72,39.48,38.08,35.93,35.06,43.9,64.35,78.07
421,421,1733A,111.5531,36.0783,临钢医院,临汾,141.59,90.16,69.36,53.55,43.05,38.79,38.54,41.21,47.81,59.58,89.35,105.85
422,422,1734A,111.5028,36.0714,技工学校,临汾,130.97,81.81,60.38,48.25,39.65,36.83,34.0,32.48,35.78,45.55,84.3,96.04
423,423,1736A,111.5018,36.0855,市委,临汾,124.12,77.57,61.23,48.32,45.05,39.15,35.87,36.78,38.35,46.08,75.8,88.56
424,424,1738A,113.5758,37.8572,市中心,阳泉,90.15,67.67,68.72,48.04,42.98,39.65,44.92,36.89,33.81,42.0,65.73,60.72
425,425,1739A,113.4894,37.8731,赛鱼,阳泉,80.45,58.64,56.03,41.96,36.87,34.27,40.12,33.53,32.13,42.35,60.06,61.51
426,426,1740A,113.5819,37.8486,南庄,阳泉,96.63,71.7,72.02,50.69,44.5,44.22,49.64,39.51,42.15,52.23,77.15,73.3
427,427,1742A,113.5614,37.8703,平坦,阳泉,87.62,65.24,68.32,46.19,39.8,36.54,41.94,34.59,32.51,45.19,65.95,63.33
428,428,1743A,113.5158,37.8392,大阳泉,阳泉,73.76,55.01,52.65,37.27,32.82,35.02,37.29,29.29,31.07,40.52,55.97,55.3
429,429,1745A,118.9576,42.2728,哈达街,赤峰,36.93,34.48,32.3,23.51,22.22,18.53,20.37,15.61,16.67,24.21,33.36,31.35
430,430,1746A,118.8788,42.2554,天义路,赤峰,28.66,27.59,26.25,21.52,21.39,15.99,19.18,14.1,14.72,21.59,27.87,23.69
431,431,1748A,123.044,41.1196,深沟寺,鞍山,70.48,55.41,56.39,43.0,32.15,29.24,26.68,24.01,26.02,38.98,56.03,51.84
432,432,1749A,123.011,41.0931,太阳城,鞍山,71.29,56.83,55.09,42.45,31.19,30.17,28.24,25.79,27.47,37.64,53.12,51.74
433,433,1750A,123.0485,41.1442,太平,鞍山,79.53,62.58,59.0,46.5,36.86,33.85,30.32,28.67,31.79,43.32,60.84,57.42
434,434,1751A,122.9642,41.0971,铁西三道街,鞍山,84.6,67.5,62.87,49.11,37.13,36.72,32.72,32.44,34.83,48.42,65.48,62.33
435,435,1752A,122.9341,41.0833,铁西工业园区,鞍山,98.32,73.38,68.02,52.4,38.24,37.07,33.48,32.45,36.96,50.84,71.58,70.48
436,436,1753A,123.022,41.0821,明达新区,鞍山,66.85,55.83,53.3,40.58,29.71,28.81,27.42,25.23,26.29,37.53,49.8,49.34
437,437,1755A,123.7977,41.8491,望花区,抚顺,94.63,73.93,63.96,47.8,35.0,29.92,29.24,25.23,28.96,53.47,62.34,74.25
438,438,1757A,124.0436,41.8611,东洲区,抚顺,69.74,55.22,48.2,36.81,27.11,23.07,23.93,17.53,19.23,38.89,47.68,55.84
439,439,1759A,124.0972,41.8961,大伙房水库,抚顺,55.72,43.54,39.32,30.4,22.08,19.58,19.06,14.47,14.27,31.09,36.64,43.25
440,440,1761A,123.8275,41.3064,大峪,本溪,59.92,46.13,43.16,32.27,23.65,21.62,23.11,19.24,19.66,30.75,45.37,48.69
441,441,1762A,123.7567,41.3325,溪湖,本溪,72.63,55.09,51.0,38.91,30.81,27.11,25.65,22.42,24.3,38.17,51.48,56.1
442,442,1763A,123.7169,41.3094,彩屯,本溪,76.51,58.59,55.17,43.58,34.79,32.12,30.99,26.67,29.46,45.14,59.18,65.11
443,443,1764A,123.7669,41.2864,东明,本溪,67.16,53.19,46.82,36.52,27.11,23.69,23.09,20.78,20.34,33.67,50.96,53.1
444,444,1765A,123.7992,41.2664,新立屯,本溪,56.31,44.89,42.11,32.27,24.09,22.3,23.25,19.43,18.37,28.74,43.91,45.59
445,445,1766A,123.8142,41.3472,威宁,本溪,69.02,48.84,45.45,31.63,21.99,18.1,17.18,14.93,17.02,33.14,50.02,55.27
446,446,1767A,121.1115,41.0879,南山,锦州,82.25,66.57,65.6,47.98,38.55,33.24,29.67,25.6,29.88,48.87,63.35,72.13
447,447,1768A,121.0533,40.8434,开发区,锦州,75.15,64.27,62.0,49.08,41.0,39.19,35.13,29.92,34.4,47.27,60.89,68.42
448,448,1769A,121.1836,41.1119,百股街道,锦州,74.1,60.63,58.87,41.57,34.62,34.23,32.03,27.16,28.15,42.63,60.63,70.51
449,449,1770A,121.1178,41.1222,天安街道,锦州,69.01,61.07,60.46,44.76,38.1,34.97,31.25,26.28,28.84,44.22,58.72,62.55
450,450,1772A,126.54,43.8622,哈达湾,吉林,72.79,57.28,47.93,49.78,24.67,21.91,21.4,17.03,17.82,37.46,51.0,52.49
451,451,1773A,126.5844,43.8358,东局子,吉林,62.94,50.19,43.44,44.8,24.18,19.96,20.6,14.99,15.07,34.7,49.29,49.35
452,452,1775A,126.6133,43.8972,江北,吉林,78.2,57.34,46.74,47.97,23.46,19.34,19.06,14.18,15.95,36.61,52.24,54.9
453,453,1776A,126.555,43.8306,江南公园,吉林,69.73,57.04,48.29,48.75,26.39,20.71,20.43,16.34,17.93,39.01,54.28,53.31
454,454,1779A,123.9305,47.3636,安居小区,齐齐哈尔,55.01,41.76,34.75,36.08,16.33,13.34,17.21,14.59,14.36,23.62,41.75,46.29
455,455,1780A,123.9488,47.3386,中心广场,齐齐哈尔,43.55,40.18,34.92,36.29,17.42,12.75,15.95,12.86,12.69,22.05,36.17,37.88
456,456,1781A,123.9483,47.3227,农牧车辆厂,齐齐哈尔,53.91,39.46,34.26,34.15,15.02,12.39,14.71,12.29,10.93,20.95,37.78,42.72
457,457,1783A,123.945,47.2988,市环境监测站,齐齐哈尔,66.32,47.69,40.34,40.03,23.28,18.61,19.57,18.34,16.97,28.34,47.95,55.2
458,458,1785A,129.6115,44.5782,文化广场,牡丹江,56.63,50.57,37.11,38.07,20.7,15.15,13.75,13.0,15.89,26.97,44.46,46.37
459,459,1787A,129.6364,44.6075,机车工厂,牡丹江,71.06,59.96,43.72,43.27,24.58,19.45,18.08,16.26,20.53,33.09,53.86,60.47
460,460,1788A,129.6386,44.5462,第一中学,牡丹江,52.11,43.5,32.98,34.83,19.73,14.92,15.08,13.4,13.36,23.76,40.83,43.45
461,461,1791A,124.902,46.408,红岗区,大庆,54.35,37.09,31.12,30.16,21.48,17.36,18.84,14.78,14.04,21.06,38.65,35.82
