,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
787,787,2580A,104.9544,26.5506,双水,六盘水,52.85,52.25,54.89,45.89,31.04,30.83,33.71,27.69
788,788,2585A,109.1839,27.7344,铜仁卫校,铜仁地区,50.39,55.63,66.24,61.71,52.63,41.17,42.95,31.83
789,789,2586A,109.1753,27.6944,铜仁七中,铜仁地区,66.76,68.47,66.03,60.63,52.3,39.8,34.93,27.77
790,790,2587A,105.2864,27.3125,八中,毕节,41.35,36.73,53.21,54.82,39.22,34.27,37.64,33.74
791,791,2588A,105.31,27.2944,师专,毕节,52.51,49.09,52.62,56.91,37.76,34.81,36.16,32.68
792,792,2589A,104.9022,25.0925,场坝街,黔西南布依族苗族自治州,46.35,46.2,43.27,37.73,32.69,30.89,32.14,25.7
793,793,2590A,104.8811,25.0992,坪东大道,黔西南布依族苗族自治州,40.7,41.66,34.37,31.02,29.77,27.71,31.34,26.27
794,794,2591A,107.9783,26.5747,市环境监测站,黔东南苗族侗族自治州,47.38,51.99,52.84,47.73,39.36,35.65,35.05,30.88
795,795,2593A,107.5228,26.2403,小围寨,黔南布依族苗族自治州,37.6,47.31,42.47,36.18,31.07,26.98,27.69,23.61
796,796,2596A,103.7667,27.3736,监测站,昭通,67.89,61.9,60.05,43.25,47.38,38.47,36.87,33.8
797,797,2597A,103.7225,27.3361,环保局,昭通,56.94,49.16,57.77,52.52,39.08,39.11,37.42,32.82
798,798,2599A,100.2497,26.8802,丽江古城,丽江,32.62,27.11,32.37,44.52,29.85,28.07,29.69,26.69
799,799,2601A,100.98,22.7633,市环保局,普洱,36.44,35.96,36.6,34.44,36.01,32.39,33.71,24.42
800,800,2602A,100.9817,22.8322,普洱第二中学,普洱,46.25,49.38,54.78,39.27,42.09,36.52,34.1,23.5
801,801,2605A,101.5482,25.0441,州环境监测站,楚雄州,36.13,34.66,38.5,41.05,31.74,26.4,29.64,25.31
802,802,2606A,101.538,25.0492,市经济开发区,楚雄州,40.05,37.72,43.41,43.95,34.95,29.24,32.16,27.63
803,803,2608A,103.3772,23.3993,污水处理厂,红河州,59.24,64.0,51.14,39.14,38.22,35.58,35.71,30.24
804,804,2611A,104.2319,23.3892,市便民服务中心,文山州,40.62,44.57,42.09,45.06,40.49,33.62,31.93,29.13
805,805,2612A,100.7939,22.0019,景洪市江南,西双版纳州,59.93,58.05,52.06,54.99,71.03,57.43,50.3,35.98
806,806,2616A,98.5842,24.428,德宏州监测站,德宏州,67.6,49.07,46.06,57.9,48.38,46.47,51.2,43.46
807,807,2618A,98.8601,25.8567,州监测站,怒江州,38.82,37.27,38.8,56.82,53.16,44.24,37.39,32.22
808,808,2619A,98.8546,25.8417,泸水一中,怒江州,42.13,39.42,48.69,54.83,67.52,50.06,41.11,31.77
809,809,2621A,99.7056,27.8317,迪庆州站,迪庆州,33.58,28.8,26.17,23.76,16.64,13.0,14.8,17.47
810,810,2624A,91.7608,29.2313,山南监测站,山南,34.99,53.78,29.96,25.53,21.88,17.08,18.92,19.54
811,811,2630A,80.1161,32.5,阿里监测站,阿里地区,35.71,41.33,23.44,31.68,14.28,13.81,13.98,11.31
812,812,2635A,107.0154,33.0706,市监测站,汉中,83.68,88.11,87.97,84.56,76.28,64.66,63.45,59.24
813,813,2636A,107.0089,33.1138,鑫源开发区,汉中,77.86,96.08,92.23,80.71,69.32,61.08,59.57,56.83
814,814,2637A,107.007,33.0323,南郑大河坎水厂,汉中,81.2,80.93,80.47,76.05,73.54,66.74,62.28,58.24
815,815,2641A,109.7336,38.2478,环保监测大楼,榆林,82.85,80.66,81.69,87.48,72.11,65.58,92.19,64.21
816,816,2642A,109.0318,32.6537,香溪洞(对照点),安康,65.04,65.22,54.79,54.2,51.11,41.05,41.21,41.19
817,817,2643A,109.0281,32.6939,安康市监测站,安康,90.44,80.64,70.81,72.57,67.52,53.7,52.02,53.2
818,818,2644A,109.0072,32.6975,汉滨区检察院,安康,69.85,63.25,58.33,63.35,63.86,54.04,47.67,48.79
819,819,2645A,109.9154,33.8715,监测站,商洛,77.24,76.69,63.22,67.34,55.48,50.45,47.98,51.55
820,820,2647A,104.1724,36.5446,第三小学,白银,128.2,89.83,112.37,115.89,78.78,82.17,114.24,86.26
821,821,2650A,105.7205,34.5786,公园小学,天水,73.41,75.04,84.57,84.08,57.55,50.91,54.49,56.85
822,822,2651A,105.8945,34.5538,麦积国土局,天水,84.69,86.44,90.57,92.99,64.88,58.76,63.98,63.84
823,823,2652A,102.6201,37.9251,监测站,武威,101.49,93.66,108.25,117.22,78.92,77.05,116.65,104.87
824,824,2654A,100.4698,38.9524,润泉湖,张掖,91.53,89.16,81.16,99.32,68.6,79.44,96.16,86.83
825,825,2655A,100.4154,38.9422,区工会,张掖,98.75,90.37,80.21,97.03,72.03,75.21,97.89,80.71
